,crop_year,machine,variety,is_mature,acres,vpm
364,2017,1,Palisade,1,33.21,26.243
365,2017,1,Palisade,1,7.5,24.694
366,2017,1,Palisade,1,34.97,23.287
367,2017,1,Citra,1,18.78,30.082
368,2017,1,Citra,1,7.13,35.214
369,2017,1,Citra,0,24.62,52.112
370,2017,1,Citra,1,16.29,26.235
371,2017,1,Citra,1,33.81,56.174
372,2017,1,Citra,1,8.71,57.885
373,2017,1,Citra,1,33.6,28.448
374,2017,1,Citra,1,33.6,27.279
375,2017,1,Citra,1,7.17,19.316
376,2017,1,Citra,0,36.71,70.183
377,2017,1,Tomahawk,1,16.46,24.388
378,2017,1,Tomahawk,1,15.73,22.738
379,2017,1,Tomahawk,1,33.05,26.832
380,2017,1,Tomahawk,1,18.0,22.698
381,2017,1,HBC 567,1,2.34,23.114
382,2017,1,HBC 568,1,1.17,17.336
383,2017,1,HBC 472,1,1.0,14.817
384,2017,1,HBC 630,1,0.8,11.853
385,2017,1,HBC 638,1,1.0,14.817
386,2017,1,HBC 438,0,4.9,24.201
387,2017,1,HBC 472,0,4.9,24.201
388,2017,1,HBC 522,0,1.23,18.22
389,2017,1,Talus,0,1.23,18.224
390,2016,1,HBC 291,0,10.08,22.425
391,2016,1,HBC 291,1,34.18,23.199
392,2016,1,Simcoe,1,18.19,38.153
393,2016,1,Simcoe,0,34.65,30.2
394,2016,1,Simcoe,0,31.23,30.848
395,2016,1,Simcoe,1,19.63,39.647
396,2016,1,Simcoe,1,36.44,32.385
397,2016,1,Simcoe,1,35.65,26.056
398,2016,1,Simcoe,1,10.69,27.122
399,2016,1,Simcoe,1,14.06,29.491
400,2016,1,Simcoe,1,34.37,45.469
401,2016,1,Simcoe,1,12.73,38.212
402,2016,1,Simcoe,1,33.57,27.831
403,2016,1,Simcoe,1,25.26,32.854
404,2016,1,Simcoe,1,23.75,32.201
405,2016,1,Simcoe,1,5.98,28.918
406,2016,1,Simcoe,1,36.71,27.549
407,2016,1,Simcoe,1,24.8,26.489
408,2016,1,Simcoe,0,35.82,23.237
409,2016,1,Simcoe,1,5.14,21.273
410,2016,1,Simcoe,1,11.41,23.032
411,2016,1,Simcoe,1,35.1,31.075
412,2016,1,Ahtanum,1,8.36,66.168
413,2016,1,Ahtanum,1,22.78,42.92
414,2016,1,Ahtanum,1,4.35,32.226
415,2016,1,Mosaic,1,16.45,28.947
416,2016,1,Mosaic,0,31.13,18.981
417,2016,1,Mosaic,1,17.33,27.287
418,2016,1,Mosaic,1,21.52,20.348
419,2016,1,Mosaic,1,34.84,20.212
420,2016,1,Mosaic,1,27.25,20.631
421,2016,1,Mosaic,1,35.51,25.344
422,2016,1,Mosaic,1,37.38,17.616
423,2016,1,Mosaic,0,36.73,21.83
424,2016,1,Mosaic,1,0.92,9.088
425,2016,1,Equinox,1,20.35,23.798
426,2016,1,Equinox,0,19.2,22.453
427,2016,1,Equinox,1,10.63,24.882
428,2016,1,Equinox,1,24.95,18.392
429,2016,1,HBC 682,0,18.81,60.852
430,2016,1,HBC 682,1,10.37,19.623
431,2016,1,HBC 682,0,17.56,39.066
432,2016,1,Nursery,1,3.7,28.854
433,2016,1,Nursery,1,4.15,32.363
434,2016,1,Palisade,0,33.21,16.584
435,2016,1,Palisade,1,7.5,15.16
436,2016,1,Palisade,1,34.97,21.881
437,2016,1,Citra,0,18.78,33.364
438,2016,1,Citra,1,7.13,27.583
439,2016,1,Citra,1,12.32,27.368
440,2016,1,Citra,1,16.29,23.812
441,2016,1,Citra,1,33.81,31.703
442,2016,1,Citra,1,20.97,23.067
443,2016,1,Citra,1,23.0,27.855
444,2016,1,Citra,1,33.6,32.454
445,2016,1,Citra,1,33.6,29.864
446,2016,1,Citra,1,7.99,24.51
447,2016,1,Zeus,1,17.08,29.189
448,2016,1,Tomahawk,1,16.46,38.528
449,2016,1,Tomahawk,1,15.73,31.753
450,2016,1,Tomahawk,1,33.05,34.558
451,2016,1,Tomahawk,1,18.0,29.084
452,2016,1,HBC 492/494,1,0.68,20.151
453,2016,1,HBC 438,1,1.0,14.817
454,2016,1,HBC 567,1,2.34,23.114
455,2016,1,HBC 568,1,1.17,17.336
456,2016,1,HBC 472,1,1.0,14.817
457,2016,1,HBC 630,1,0.8,15.804
458,2016,1,HBC 638,1,1.0,17.851
459,2023,3,Simcoe,1,,37.497
460,2023,3,Simcoe,1,,48.116
461,2023,3,Simcoe,1,,38.754
462,2023,3,Simcoe,2,,55.238
463,2023,3,Simcoe,1,,46.549
464,2023,3,Simcoe,1,,27.415
465,2023,3,HBC 682,1,,30.703
466,2023,3,HBC 682,1,,33.74
467,2023,3,Citra,1,,20.175
468,2023,3,Citra,1,,39.182
469,2023,3,Citra,1,,34.034
470,2023,3,Talus,1,,28.346
471,2023,3,HBC 586,2,,35.486
472,2023,3,Talus,1,,66.068
473,2023,3,HBC 586,1,,24.606
