Observation,Year,Field,Variety,Maturity,Acres,String,String Count,Target VPM,Target Hrs,Acutal Hrs,Actual VPM,VPM Per Machine,Machine Type
1,2021,74,Simcoe,mature,35.82,2.5,79609.95,80,16.58540625,15.5,85.60209677,42.80104839,PH
1,2021,# 81,Simcoe,mature,33.99,2.5,75542.775,80,15.73807813,21,59.95458333,29.97729167,PH
1,2021,# 82,Simcoe,mature,35.14,2.5,78098.65,80,16.27055208,20.5,63.4948374,31.7474187,PH
1,2021,4,Simcoe,babies,2.6,1,2311.4,80,0.481541667,0.33,116.7373737,58.36868687,PH
1,2021,11,Simcoe,babies,10.4,1,9245.6,80,1.926166667,1.3,118.5333333,59.26666667,PH
1,2021,75,Ahtanum,mature,32.64,2,58033.92,24,40.30133333,27.5,35.17207273,17.58603636,PH
1,2021,14,Mosaic,mature,15.88,3,42351.96,50,14.11732,9.25,76.30983784,38.15491892,PH
1,2021,17,Mosaic,mature,31.13,2,55349.14,60,15.37476111,16,57.65535417,28.82767708,PH
1,2021,61,Mosaic,mature,22.48,2,39969.44,50,13.32314667,16.5,40.37317172,20.18658586,PH
1,2021,65,Mosaic,mature,27.25,2,48450.5,50,16.15016667,20.75,38.91606426,19.45803213,PH
1,2021,66,Mosaic,mature,35.51,2,63136.78,50,21.04559333,22,47.83089394,23.91544697,PH
1,2021,69,Mosaic,mature,37.38,2,66461.64,60,18.46156667,13.5,82.05140741,41.0257037,PH
1,2021,70,Mosaic,mature,33.61,2,59758.58,55,18.10866061,18,55.33201852,27.66600926,PH
1,2021,71,Mosaic,mature,34.14,2,60700.92,60,16.86136667,11.75,86.10059574,43.05029787,PH
1,2021,73,Mosaic,mature,34.13,2,60683.14,50,20.22771333,25,40.45542667,20.22771333,PH
1,2021,50,HBC 682,mature,33.54,2,59634.12,60,16.56503333,13.5,73.62237037,36.81118519,PH
1,2021,67,HBC 682,mature,36.02,2,64043.56,55,19.40713939,20.25,52.71074897,26.35537449,PH
1,2021,68,HBC 682,mature,35.4,2,62941.2,55,19.07309091,23.5,44.63914894,22.31957447,PH
1,2021,79,HBC 682,mature,33.96,2,60380.88,55,18.29723636,21.25,47.35755294,23.67877647,PH
1,2021,Whitener,HBC 682,mature,32.45,2,57696.1,60,16.02669444,16.25,59.17548718,29.58774359,PH
1,2021,24,Citra,mature,24.62,2.5,54717.95,60,15.19943056,14,65.14041667,32.57020833,PH
1,2021,52,Citra,mature,22.79,2.5,50650.775,60,14.06965972,9.75,86.58252137,43.29126068,PH
1,2021,59,Citra,mature,33.6,2.5,74676,80,15.5575,15.75,79.02222222,39.51111111,PH
1,2021,60,Citra,mature,33.6,2.5,74676,80,15.5575,13.75,90.51636364,45.25818182,PH
1,2021,63,Citra,mature,34.72,3,92598.24,100,15.43304,13.75,112.2402909,56.12014545,PH
1,2021,64,Citra,mature,17.31,2.5,38471.475,70,9.159875,9,71.24347222,35.62173611,PH
1,2021,4,Citra,babies,27.78,1,24696.42,25,16.46428,3.5,117.602,58.801,PH
1,2021,Rice-east,Sabro,mature,9.1,2,16179.8,22,12.25742424,6,44.94388889,22.47194444,PH
1,2021,12,Cascade,babies,15.88,1,14117.32,25,9.411546667,2,117.6443333,58.82216667,PH
1,2021,13,Cascade,babies,3.49,1,3102.61,25,2.068406667,0.45,114.9114815,57.45574074,PH
1,2021,76,HBC 472,mature,4.9,2,8712.2,28,5.185833333,2.75,52.80121212,26.40060606,PH
1,2021,80,HBC 472,mature,13.91,2,24731.98,28,14.72141667,12,34.34997222,17.17498611,PH
1,2021,83,Idaho 7,mature,20.9,2,37160.2,22,28.15166667,25,24.77346667,12.38673333,PH
1,2021,84,Idaho 7,mature,19.04,2,33853.12,22,25.64630303,24.5,23.02933333,11.51466667,PH
1,2021,Tri-40,HBC 638,mature,14.85,2,26403.3,24,18.335625,14.5,30.34862069,15.17431034,PH
1,2021,7 east,Experi,mature,1.9,2,3378.2,60,0.938388889,1,56.30333333,28.15166667,PH
1,2021,72,YCR,mature,18.75,2,33337.5,60,9.260416667,8.5,65.36764706,32.68382353,PH
1,2022,# 14,Simcoe,mature,17.58,3,46885.86,80,9.7678875,8,97.678875,48.8394375,PH
1,2022,# 15,Simcoe,mature,34.65,3,92411.55,80,19.25240625,17.65,87.26303116,43.63151558,PH
1,2022,# 16,Simcoe,mature,31.23,3,83290.41,80,17.35216875,18,77.12075,38.560375,PH
1,2022,3,Simcoe,mature,36.44,3,97185.48,80,20.246975,20,80.9879,40.49395,PH
1,2022,53,Simcoe,mature,32.82,3,87530.94,80,18.2356125,14.92,97.77808311,48.88904155,PH
1,2022,6,Simcoe,babies,31.71,3,84570.57,80,17.61886875,23.5,59.97912766,29.98956383,PH
1,2022,74,Simcoe,mature,35.82,3,95531.94,80,19.9024875,20.25,78.62711111,39.31355556,PH
1,2022,8,Simcoe,babies,31.95,2,66264.3,100,11.04405,6.67,165.577961,82.78898051,PH
1,2022,# 81,Simcoe,mature,33.99,2.5,75542.775,80,15.73807813,19,66.26559211,33.13279605,PH
1,2022,# 82,Simcoe,mature,35.14,2.5,78098.65,80,16.27055208,19.58,66.47825162,33.23912581,PH
1,2022,75,Ahtanum,mature,32.64,2,58033.92,70,13.8176,25.92,37.31604938,18.65802469,PH
1,2022,14,Mosaic,mature,15.88,3,42351.96,55,12.83392727,7.5,94.11546667,47.05773333,PH
1,2022,17,Mosaic,mature,31.13,2,55349.14,55,16.77246667,15.13,60.9706323,30.48531615,PH
1,2022,61,Mosaic,mature,22.48,2,39969.44,55,12.11195152,10.37,64.23889425,32.11944712,PH
1,2022,62,Mosaic,mature,34.79,2,61856.62,55,18.7444303,15.33,67.2500761,33.62503805,PH
1,2022,65,Mosaic,mature,27.57,2,49019.46,55,14.85438182,17.64,46.31468254,23.15734127,PH
1,2022,66,Mosaic,mature,35.51,2,63136.78,55,19.13235758,18.25,57.65915982,28.82957991,PH
1,2022,69,Mosaic,mature,37.38,2.5,83077.05,55,25.17486364,19.25,71.92818182,35.96409091,PH
1,2022,70,Mosaic,mature,33.61,2,59758.58,55,18.10866061,17,58.58684314,29.29342157,PH
1,2022,71,Mosaic,mature,34.14,2.5,75876.15,60,21.07670833,12.42,101.819847,50.90992351,PH
1,2022,73,Mosaic,mature,34.13,2,60683.14,50,20.22771333,24.17,41.8446697,20.92233485,PH
1,2022,67,HBC 682,mature,36.02,2,64043.56,55,19.40713939,19.67,54.26500593,27.13250297,PH
1,2022,68,HBC 682,mature,35.4,2,62941.2,55,19.07309091,20.5,51.17170732,25.58585366,PH
1,2022,77,HBC 682,mature,22.97,2,40840.66,55,12.37595758,12.33,55.20500135,27.60250068,PH
1,2022,79,HBC 682,mature,33.96,2,60380.88,55,18.29723636,18.13,55.50733591,27.75366795,PH
1,2022,1,Citra,babies,36.14,2,74954.36,100,12.49239333,9.5,131.4988772,65.7494386,PH
1,2022,5,Citra,mature,35.3,2.5,78454.25,50,26.15141667,29.66,44.08532816,22.04266408,PH
1,2022,52,Citra,mature,31.67,2.5,70386.575,70,16.75870833,15.17,77.33088882,38.66544441,PH
1,2022,59,Citra,mature,33.6,2.5,74676,70,17.78,13.83,89.99276934,44.99638467,PH
1,2022,60,Citra,mature,33.71,2.5,74920.475,70,17.83820833,15.08,82.80335433,41.40167717,PH
1,2022,2,Citra,mature,36.2,2.5,80454.5,70,19.15583333,13.42,99.91865375,49.95932688,PH
1,2022,Loc-40,Citra,babies,17.2,2,35672.8,131,4.538524173,4.33,137.308699,68.6543495,PH
1,2022,64,Citra,mature,17.31,2.5,38471.475,70,9.159875,9.67,66.30726474,33.15363237,PH
1,2022,Rice-40,Citra,babies,32.57,2,57909.46,130,7.424289744,7.17,134.6105532,67.30527662,PH
1,2022,84,Idaho 7,mature,7.66,2,13619.48,22,10.31778788,7.17,31.65848443,15.82924221,PH
1,2022,Tri-40,HBC 638,mature,14.85,2,26403.3,24,18.335625,14.17,31.05539873,15.52769936,PH
1,2022,7 east,Experi,mature,1.2,2,2133.6,60,0.592666667,1,35.56,17.78,PH
1,2022,72,YCR,mature,11.89,2,21140.42,60,5.872338889,1.5,234.8935556,117.4467778,PH
1,2022,8,HBC 1019,babies,4.89,2,10141.86,80,2.1128875,1.5,112.6873333,56.34366667,PH
1,2019,# 10,Simcoe,mature,8.55,2.5,19002.375,28,11.3109375,16.17,19.58603896,19.58603896,Pilot
1,2019,# 14,Simcoe,mature,18.19,2.5,40427.275,28,24.06385417,31.5,21.39009259,21.39009259,Pilot
1,2019,9,Simcoe,mature,5.14,2.5,11423.65,28,6.799791667,9.25,20.58315315,20.58315315,Pilot
1,2019,BHM,Simcoe,mature,11.41,2.5,25358.725,28,15.09447917,22.09,19.13288441,19.13288441,Pilot
1,2019,14,Mosaic,mature,16.45,2,29248.1,25,19.49873333,23.33,20.89448493,20.89448493,Pilot
1,2019,17,Mosaic,mature,31.13,2,55349.14,25,36.89942667,61.52,14.99489055,14.99489055,Pilot
1,2019,69,Mosaic,mature,37.38,2,66461.64,22,50.34972727,60.68,18.25468029,18.25468029,Pilot
1,2019,BHM,Mosaic,mature,0.92,2,1635.76,45,0.605837037,1.75,15.57866667,15.57866667,Pilot
1,2019,1,HBC 682,mature,18.81,2,33444.18,25,22.29612,24.6,22.65865854,22.65865854,Pilot
1,2019,Loc-40,HBC 682,mature,17.56,2,31221.68,25,20.81445333,23.34,22.29483005,22.29483005,Pilot
1,2019,9,Palisade,mature,7.5,2.5,16668.75,25,11.1125,11.17,24.87130707,24.87130707,Pilot
1,2019,Whitener,Palisade,mature,34.97,2,62176.66,25,41.45110667,54.85,18.89293832,18.89293832,Pilot
1,2019,10,Citra,mature,7.13,2.5,15846.425,28,9.432395833,11.5,22.96583333,11.48291667,Pilot
1,2019,BHM,Citra,mature,7.17,2.5,15935.325,28,9.4853125,10.83,24.52343029,24.52343029,Pilot
1,2019,9,Citra,mature,5.14,2.5,11423.65,28,6.799791667,6.33,30.0780674,30.0780674,Pilot
1,2019,Tri-40,Tomahawk,mature,33.05,2,58762.9,25,39.17526667,49.76,19.68210745,19.68210745,Pilot
1,2019,64,Tomahawk,mature,18,2,32004,25,21.336,30.5,17.48852459,17.48852459,Pilot
1,2019,Rice-west,Sabro,babies,16.46,2,29265.88,25,19.51058667,17.67,27.60411243,27.60411243,Pilot
1,2019,Rice-east,Sabro,babies,15.39,2,27363.42,25,18.24228,17.67,25.80967742,25.80967742,Pilot
1,2019,76,Sabro,mature,4.9,2,8712.2,25,5.808133333,9.17,15.8346056,15.8346056,Pilot
1,2019,80,Sabro,mature,23.72,2,42174.16,25,28.11610667,43.18,16.27843137,16.27843137,Pilot
1,2019,78,Sabro,babies,35.01,2,62247.78,32,32.42071875,42.92,24.17201771,24.17201771,Pilot
1,2019,72,HBC 638,mature,1.02,2,1813.56,25,1.20904,1.58,19.13037975,19.13037975,Pilot
1,2019,72,Talus,mature,11.3,2,20091.4,30,11.16188889,13.59,24.63993132,24.63993132,Pilot
1,2019,76,HBC 472,mature,4.9,2,8712.2,25,5.808133333,8.91,16.29667041,16.29667041,Pilot
1,2019,76,HBC 522,mature,1.23,2,2186.94,25,1.46,3.75,9.72,9.72,Pilot
1,2019,76,Talus,mature,1.23,2,2186.94,25,1.45796,3,12.14966667,12.14966667,Pilot
1,2019,80,HBC 472,mature,13.91,2,24731.98,25,16.48798667,21.33,19.32487889,19.32487889,Pilot
1,2019,83,Idaho 7,babies,17.1,2,30403.8,32,15.8353125,21.83,23.21255153,23.21255153,Pilot
1,2019,83,Talus,babies,20.9,2,37160.2,32,19.35427083,16.5,37.53555556,37.53555556,Pilot
1,2019,7 east,HBC 586,babies,4.7,2,8356.6,30,4.642555556,3.75,37.14044444,37.14044444,Pilot
